unsicher,diskriminiert,viktim,eisced_c_z,imwbcnt_c_z,ppltrst_c_z,trstlgl_c_z,geschlecht_f,agea_c_z,hinc_z,hincfel_c,mh,stadt_land_num_z,health_c_z
0.0,0.0,0.0,-0.5815151785555237,-0.013894702708451818,0.46647827263214325,0.5014540234923357,0.0,1.0611149442592223,-0.5899648294809212,2.0,0.0,0.12442257194172703,-0.3917659553814575
0.0,0.0,0.0,-1.1812797732319587,-0.013894702708451818,0.030424858219660043,1.7114474763067697,0.0,-1.4478147520520677,-0.5899648294809212,1.0,1.0,0.12442257194172703,-0.3917659553814575
1.0,0.0,0.0,0.6180140107973462,-0.013894702708451818,-0.4056285561928232,-1.111870580260243,1.0,-1.3387308522124464,-0.9482486966574354,1.0,0.0,0.12442257194172703,-0.3917659553814575
1.0,0.0,0.0,-0.5815151785555237,-0.013894702708451818,-0.4056285561928232,-0.3052082783839537,1.0,0.6793212948205477,0.48488677204862113,1.0,0.0,0.12442257194172703,-1.511604179358558
0.0,0.0,0.0,-0.5815151785555237,-0.4589295753715897,-0.4056285561928232,-1.111870580260243,1.0,0.5156954450611158,-0.5899648294809212,2.0,1.0,0.12442257194172703,-1.511604179358558
0.0,1.0,0.0,-0.5815151785555237,-0.4589295753715897,-1.2777353850177895,-0.7085394293220983,0.0,0.024817895782819944,-0.9482486966574354,3.0,0.0,-0.7975713323017426,1.8479104925727434
0.0,0.0,1.0,1.817543200150216,1.3212099152809618,0.9025316870446265,0.5014540234923357,0.0,0.24298569546206256,0.8431706392251352,1.0,0.0,0.12442257194172703,-0.3917659553814575
0.0,1.0,0.0,-0.5815151785555237,0.8761750426178239,-0.4056285561928232,0.09812287255419097,0.0,-1.0114791526935825,-0.2316809623044071,2.0,1.0,0.12442257194172703,-1.511604179358558
0.0,0.0,0.0,0.6180140107973462,-1.3489993206978654,-0.8416819706053064,0.5014540234923357,0.0,1.3883666437780862,-0.2316809623044071,2.0,1.0,0.12442257194172703,0.728072268595643
0.0,0.0,0.0,0.018249416120911247,0.43114016995468607,0.9025316870446265,0.5014540234923357,1.0,-1.3387308522124464,0.126602904872107,2.0,0.0,0.12442257194172703,-1.511604179358558
0.0,0.0,1.0,-0.5815151785555237,-0.9039644480347275,-0.4056285561928232,-2.321864033074677,0.0,-1.2841889022926356,-1.6648164310104636,4.0,1.0,0.12442257194172703,-1.511604179358558
0.0,0.0,0.0,-0.5815151785555237,-0.4589295753715897,-0.8416819706053064,0.09812287255419097,0.0,1.6610763933771395,-0.5899648294809212,2.0,1.0,0.12442257194172703,0.728072268595643
0.0,0.0,0.0,-0.5815151785555237,1.3212099152809618,-0.4056285561928232,0.9047851744304803,0.0,0.1884437455422519,-0.5899648294809212,2.0,0.0,0.12442257194172703,-0.3917659553814575
0.0,0.0,0.0,-0.5815151785555237,0.43114016995468607,1.3385851014571097,0.09812287255419097,0.0,0.5156954450611158,-1.3065325638339496,2.0,0.0,0.12442257194172703,-0.3917659553814575
0.0,0.0,0.0,-0.5815151785555237,1.3212099152809618,1.3385851014571097,-0.7085394293220983,0.0,1.0065729943394117,0.8431706392251352,1.0,0.0,0.12442257194172703,-0.3917659553814575
0.0,0.0,0.0,-0.5815151785555237,0.43114016995468607,-0.8416819706053064,-0.7085394293220983,1.0,-0.6296855032549079,-0.9482486966574354,2.0,0.0,-1.7195652365452123,0.728072268595643
0.0,0.0,0.0,-0.5815151785555237,0.43114016995468607,-0.4056285561928232,0.5014540234923357,1.0,0.8429471445799797,0.126602904872107,1.0,0.0,0.12442257194172703,-0.3917659553814575
0.0,0.0,0.0,-0.5815151785555237,-0.4589295753715897,0.46647827263214325,0.09812287255419097,1.0,1.6610763933771395,-0.9482486966574354,2.0,0.0,0.12442257194172703,-0.3917659553814575
0.0,1.0,0.0,-0.5815151785555237,-0.9039644480347275,-1.2777353850177895,0.5014540234923357,1.0,1.0065729943394117,-1.6648164310104636,3.0,0.0,0.12442257194172703,0.728072268595643
1.0,1.0,0.0,-1.1812797732319587,-0.013894702708451818,0.46647827263214325,1.7114474763067697,1.0,-1.229646952372825,-0.9482486966574354,3.0,1.0,0.12442257194172703,-1.511604179358558
0.0,0.0,0.0,-0.5815151785555237,-0.013894702708451818,-0.8416819706053064,0.09812287255419097,0.0,-1.2841889022926356,-0.5899648294809212,1.0,0.0,1.0464164761851966,-0.3917659553814575
0.0,0.0,0.0,0.6180140107973462,0.8761750426178239,0.030424858219660043,1.308116325368625,0.0,-0.3569757536558546,0.48488677204862113,2.0,0.0,-0.7975713323017426,-0.3917659553814575
1.0,0.0,0.0,0.6180140107973462,0.43114016995468607,0.46647827263214325,-0.3052082783839537,0.0,1.0065729943394117,-0.2316809623044071,2.0,0.0,1.0464164761851966,0.728072268595643
1.0,0.0,0.0,-1.1812797732319587,-0.013894702708451818,-1.7137887994302727,-0.3052082783839537,1.0,0.13390179562244126,0.126602904872107,2.0,1.0,-0.7975713323017426,0.728072268595643
1.0,0.0,0.0,-0.5815151785555237,-0.013894702708451818,-0.4056285561928232,-1.111870580260243,1.0,1.115656894179033,0.126602904872107,1.0,0.0,-0.7975713323017426,1.8479104925727434
