label;variable;detail;ame_pp;se_pp;z;p;ki_lo;ki_hi;modell
C(welle_f);C(welle_f);C(welle_f)[T.11];-3.1388383581734622;0.7304096695708359;-4.297366928367389;;-4.570441310532301;-1.707235405814624;M4 + Wellen
C(welle_f);C(welle_f);C(welle_f)[T.4];-6.452878416178382;0.662429414831088;-9.741231702133566;;-7.751240069247314;-5.1545167631094495;M4 + Wellen
C(welle_f);C(welle_f);C(welle_f)[T.5];-5.906255163676623;0.6598699121257408;-8.950635655821754;;-7.199600191443075;-4.612910135910171;M4 + Wellen
C(welle_f);C(welle_f);C(welle_f)[T.6];-4.175271177222676;0.6635343537553866;-6.292471751601122;;-5.475798510583234;-2.8747438438621185;M4 + Wellen
C(welle_f);C(welle_f);C(welle_f)[T.7];-4.928099087391731;0.6408741233954823;-7.689652160211513;;-6.184212369246876;-3.6719858055365853;M4 + Wellen
C(welle_f);C(welle_f);C(welle_f)[T.8];0.19214700034255802;0.690988653032205;0.27807547851817277;;-1.1621907596005638;1.54648476028568;M4 + Wellen
C(welle_f);C(welle_f);C(welle_f)[T.9];-1.870313327228108;0.7449747936583363;-2.5105726303081863;;-3.3304639227984474;-0.41016273165776895;M4 + Wellen
Alter (je SD);agea_c_z;agea_c_z;0.1573886787545231;0.33375264741069965;0.4715728248916279;;-0.49676651017044815;0.8115438676794944;M4 + Wellen
Diskriminierungserfahrung;diskriminiert;diskriminiert;1.6052074152085218;1.325021064404513;1.211458035144467;;-0.9918338710243235;4.202248701441367;M4 + Wellen
Bildung ISCED (je SD);eisced_c_z;eisced_c_z;-3.1957507471463753;0.3443943094832735;-9.279336676442925;;-3.8707635937335914;-2.5207379005591593;M4 + Wellen
Frau (vs. Mann);geschlecht_f;geschlecht_f;20.645168863695368;0.6173816399702935;33.43988147216161;;19.435100849353592;21.855236878037143;M4 + Wellen
Gesundheit (schlecht hoch);health_c_z;health_c_z;2.638461439697408;0.31972422076040663;8.252303918115123;;2.011801967007011;3.2651209123878053;M4 + Wellen
Haushaltseinkommen (je SD);hinc_z;hinc_z;-1.8747355642772225;0.37234531688697164;-5.0349379440330475;;-2.6045323853756868;-1.144938743178758;M4 + Wellen
Einkommenslage (schwierig hoch);hincfel_c;hincfel_c;0.45138719484854806;0.4848731221365544;0.9309387842731861;;-0.49896412453909855;1.4017385142361947;M4 + Wellen
Zuwanderung kulturell bereichernd (je SD);imsmetn_c_z;imsmetn_c_z;1.6005180837461375;0.361432716186214;4.428260121647465;;0.892109960021158;2.3089262074711168;M4 + Wellen
Zuwanderung gut fürs Land (je SD);imwbcnt_c_z;imwbcnt_c_z;-3.4069092252111544;0.36642982843381616;-9.297576127393524;;-4.125111688941434;-2.6887067614808746;M4 + Wellen
politisch rechts (je SD);lrscale_c_z;lrscale_c_z;0.6881029851331495;0.29985508495654456;2.2947851133919253;;0.10038701861832211;1.275818951647977;M4 + Wellen
Migrationshintergrund;mh;mh;2.2953578256730225;0.7950190622598118;2.8871733202831065;;0.7371204636437914;3.8535951877022536;M4 + Wellen
Sozialvertrauen (je SD);ppltrst_c_z;ppltrst_c_z;-4.935371935058476;0.32938550418597234;-14.983573570596311;;-5.580967523262982;-4.28977634685397;M4 + Wellen
Wohnort (Land hoch);stadt_land_num_z;stadt_land_num_z;-3.733882784800619;0.3055609937220792;-12.219762540099426;;-4.332782332495894;-3.134983237105344;M4 + Wellen
Demokratiezufriedenheit (je SD);stfdem_c_z;stfdem_c_z;-1.4916663670376256;0.3934420329491951;-3.791324368309787;;-2.262812751618048;-0.7205199824572032;M4 + Wellen
Vertrauen Justiz (je SD);trstlgl_c_z;trstlgl_c_z;-1.7773436407409062;0.4155152057318371;-4.277445485082821;;-2.591753443975307;-0.9629338375065055;M4 + Wellen
Vertrauen Polizei (je SD);trstplc_c_z;trstplc_c_z;0.604328957199008;0.37316976620820613;1.6194478007680533;;-0.12708378456907599;1.335741698967092;M4 + Wellen
Vertrauen Parlament (je SD);trstprl_c_z;trstprl_c_z;0.6567056610407889;0.40844534038504887;1.6078177325311152;;-0.1438472061139069;1.4572585281954846;M4 + Wellen
Arbeitslosigkeit (12 Mon.);uempla_c;uempla_c;-1.0181183458797227;1.5548826042313646;-0.6547879197497459;;-4.0656882501731975;2.0294515584137516;M4 + Wellen
Viktimisierung (Haushalt);viktim;viktim;5.642755471322475;1.0114467286129687;5.578895370061236;;3.6603198832410557;7.625191059403893;M4 + Wellen
